,spread,theta,mu,sigma,signal,a,b
2010-10-13,-0.061839291545140895,0.1687406266957865,0.27397334658669237,0.16767525852852966,,0.851236920209898,-0.3032902270365133
2010-10-14,0.07058516408833526,0.17748217991193943,0.28498118677591777,0.16684314136488954,,0.8450559177666358,-0.27509354421480026
2010-10-15,0.0377094167940939,0.1725636427637575,0.27538895009406733,0.16494953231723572,,0.8369428353254744,-0.2861649351373397
2010-10-18,-0.09301882586504462,0.1462978685081225,0.2578749509614762,0.15961890378087373,,0.8480492900408856,-0.3322993881179332
2010-10-19,-0.13244661384035794,0.13542890194887935,0.24063609788495516,0.15944462066827023,,0.8533661633576437,-0.37209396758773333
2010-10-20,-0.027701365591163096,0.1425610168772506,0.2526986920109129,0.1602173199593247,,0.8527993022116223,-0.3474019181897965
2010-10-21,-0.02228128030972698,0.13939517680663355,0.24623574658772623,0.1582000365753161,,0.84547148098541,-0.3529999878099575
2010-10-22,0.06616857131309928,0.14376550450239417,0.2552257435414258,0.15692448346935117,,0.8405255213972261,-0.33007403431437454
2010-10-25,-1.7884889053332529,0.010439502124839814,-4.8740574474526825,0.3165401524454331,,-0.49274816685711187,-9.255366728048253
2010-10-26,-1.6879310107763388,0.04777994330607264,-0.8617352752481114,0.32256570166892656,,1.22520667903086,-2.9486772295270827
2010-10-27,-1.537423800974338,0.07061432854908933,-0.5506666594785952,0.3253103484664127,,1.1806099430247643,-2.2819432619819544
2010-10-28,-1.4460551214125985,0.0732329238620276,-0.5195145756332464,0.32193073931765703,,1.1628660479621482,-2.201895199228641
2010-10-29,-1.4097269124761382,0.07024376956357536,-0.5557568152354314,0.31781910535265434,,1.1401074692412516,-2.251621099712114
2010-11-01,-1.1924905191704482,0.09035881244148078,-0.45001218005198335,0.32812069832969154,,1.0936894678430744,-1.9937138279470412
2010-11-02,-0.9077953534453655,0.10019529941105612,-0.3246690863434091,0.33074480906852294,,1.153024406714426,-1.802362579401244
2010-11-03,-0.6282934393590267,0.11068218205731514,-0.25859698820471533,0.3341987624038139,,1.1620330028732178,-1.6792269792826486
2010-11-04,-0.6906182659324003,0.1077350741955067,-0.2865553630806059,0.3302218982674976,,1.1362395699914714,-1.7093502961526832
2010-11-05,-0.693458577595436,0.10632612388388499,-0.2993774971374428,0.32630671741174283,,1.1158329346926221,-1.7145879289675077
2010-11-08,-0.6382300758845574,0.11395815856525936,-0.3593741127584262,0.3326873932885003,,1.0343558303380083,-1.7531040558548607
2010-11-09,-0.5699671912713171,0.12099807102662671,-0.38063209470246606,0.332171396609699,,0.9698474390561683,-1.7311116284611003
2010-11-10,-0.6308512394814514,0.12896434283496827,-0.43197895409254794,0.3309643405283896,,0.8713720075692225,-1.7353299157543183
2010-11-11,-0.6626777296159858,0.1276721964965965,-0.445128056164661,0.3270198724799725,,0.8491899041828422,-1.7394460165121641
2010-11-12,-0.9472681315732956,0.12039567072753884,-0.5201176635741146,0.32587600470753725,,0.8080776566709719,-1.8483129838192012
2010-11-15,-0.6082787190020937,0.13974527135111978,-0.46708766581841943,0.3386227589790124,,0.813952010910529,-1.748127342547368
2010-11-16,-0.48581005226423457,0.15704122684459107,-0.4891185322292133,0.3363430647878713,,0.7111837595569319,-1.6894208240153585
2010-11-17,-0.3354638321598884,0.15384931026686197,-0.4566467526404552,0.33648826076349936,,0.756566479610923,-1.6698599848918334
2010-11-18,-0.4153547657372556,0.15385275637326745,-0.4661231280418191,0.3327018674959709,,0.7334247747791475,-1.6656710308627858
2010-11-19,-0.5067818412168634,0.15346213925870245,-0.47911994239725136,0.3291123131090165,,0.7089951283136497,-1.6672350131081526
2010-11-22,-0.2723902108067051,0.16895013295943587,-0.47348717276235164,0.3359427915627872,,0.682361704834702,-1.6293360503594054
2010-11-23,-0.3931930020513619,0.1718821058194758,-0.4898276164326963,0.33662659651806554,,0.6584531515076741,-1.6381083843730666
2010-11-24,-0.22013055498656797,0.19390402077884833,-0.5128078632390186,0.33285239002932254,,0.5561812202670907,-1.5817969467451278
